vendor_id,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,rate_code,passenger_count,trip_distance,payment_type,fare_amount,extra,mta_tax,imp_surcharge,tip_amount,tolls_amount,total_amount,store_and_fwd_flag
VTS,1.24576632E9,1.24576632E9,-74.004745,40.740755,-74.00551,40.741118,,1,0.05,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.2488646E9,1.24886466E9,-73.937587,40.75826,-73.937617,40.758245,,1,0.0,CRD,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24706352E9,1.24706352E9,-73.991137,40.739532,-73.991117,40.739512,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23754788E9,1.23754788E9,-74.009863,40.705238,-74.009865,40.705288,,1,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.236672324E9,1.236673498E9,-73.947522,40.775079,-73.998619,40.723741,,1,5.9,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.25481936E9,1.25481936E9,-73.983645,40.770955,-73.983642,40.770957,,5,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.27636326E9,1.2763872E9,0.0,0.0,-73.976528,40.741777,1,2,0.0,CAS,2.5,0.0,0.0,,0.0,0.0,2.5,
DDS,1.240847005E9,1.240847589E9,-74.009397,40.702323,-73.95849,40.759473,,1,5.5,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,1.231067776E9,1.231067778E9,-73.86303,40.769724,-73.86303,40.769724,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,1.233420612E9,1.233420615E9,-73.966657,40.75964,-73.966657,40.75964,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.24021869E9,1.240220416E9,-73.776679,40.64528,-73.137393,41.366138,,1,6.2,CSH,2.5,0.0,,,0.0,0.0,2.5,
